time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl
2048,2,38.58490566037736,-76.73584905660377,715,1,,,,,,,,,,
4096,6,41.63265306122449,-80.64285714285714,644,2,0.06611328125,0.010691344738006592,678.6943923950196,0.2,0.0003,333.4607238769531,-1.6045258030295373,10,-0.012858913629315794,0.007987484
6144,10,43.42,-79.24,591,3,0.091943359375,-0.10563015937805176,701.6455223083497,0.2,0.0003,348.1518859863281,-1.5887136563658715,20,-0.016241693357005715,0.010030726
8192,13,39.93,-60.8,614,4,0.0810546875,-0.15097832679748535,607.0432704925537,0.2,0.0003,243.70297241210938,-1.558983400464058,30,-0.013925400620792061,0.010228828
10240,15,39.65,-46.9,645,5,0.08955078125,-0.23409700393676758,280.9673486709595,0.2,0.0003,107.68119049072266,-1.5131722584366798,40,-0.014609470625873654,0.014248583
12288,18,44.75,-45.38,668,6,0.0876953125,-0.08659505844116211,210.30666332244874,0.2,0.0003,85.1473159790039,-1.4582516148686409,50,-0.011246791717712767,0.013112444
14336,20,41.64,-33.44,686,7,0.08427734375,0.27323681116104126,209.79164371490478,0.2,0.0003,87.38021087646484,-1.4128776997327805,60,-0.017706785429618323,0.013977631
16384,23,38.15,-19.72,685,8,0.117626953125,0.42106562852859497,160.77381114959718,0.2,0.0003,68.88311767578125,-1.3037629514932632,70,-0.016143825219478457,0.012367908
18432,26,38.73,-12.79,682,9,0.0759765625,0.39715486764907837,139.95338516235353,0.2,0.0003,67.69861602783203,-1.2430841490626334,80,-0.013000145193655045,0.011073772
20480,29,40.73,-6.56,695,10,0.1361328125,0.5243523120880127,152.1646523475647,0.2,0.0003,61.398868560791016,-1.2086346447467804,90,-0.0178333920892328,0.01493551
22528,32,41.07,-0.07,700,11,0.04892578125,0.350654661655426,187.77106323242188,0.2,0.0003,84.54978942871094,-1.0967854782938957,100,-0.010289732570527121,0.008794023
24576,34,40.99,6.03,706,12,0.1173828125,0.4309285283088684,176.85916652679444,0.2,0.0003,81.412353515625,-1.0565094634890557,110,-0.016537714336300267,0.011671439
26624,37,36.79,13.03,711,13,0.0890625,0.2490498423576355,198.58100566864013,0.2,0.0003,95.4649658203125,-0.967806151509285,120,-0.01580319594941102,0.011608742
28672,40,38.44,17.93,701,14,0.0595703125,0.2875300645828247,150.72121210098265,0.2,0.0003,62.23991775512695,-0.9192399837076664,130,-0.010789047600701452,0.008161957
30720,43,43.01,23.85,701,15,0.0751953125,0.01555567979812622,179.2453239440918,0.2,0.0003,84.91012573242188,-0.8753763310611248,140,-0.010550364150549284,0.0067693125
32768,46,45.44,27.51,709,16,0.0650390625,0.15411657094955444,180.09936122894288,0.2,0.0003,81.13079833984375,-0.8673937328159809,150,-0.01018306324549485,0.009702755
34816,48,42.8,29.77,713,17,0.064013671875,0.05271691083908081,165.26475009918212,0.2,0.0003,89.16586303710938,-0.8176318049430847,160,-0.010052942129550501,0.006696815
36864,52,39.79,36.62,708,18,0.064599609375,-0.000788569450378418,158.97662315368652,0.2,0.0003,60.763179779052734,-0.7450680531561374,170,-0.00971806984161958,0.006179006
38912,54,39.83,38.02,709,19,0.0271484375,0.057473957538604736,171.47210464477538,0.2,0.0003,88.78038787841797,-0.728627398610115,180,-0.006145162269240246,0.0037760474
40960,58,40.22,37.17,706,20,0.049365234375,0.21135729551315308,154.88454608917237,0.2,0.0003,77.0169677734375,-0.7243843443691731,190,-0.006354745381395332,0.005922324
43008,60,40.64,42.54,709,21,0.047119140625,0.176097571849823,184.7702844619751,0.2,0.0003,86.72813415527344,-0.6762462817132473,200,-0.007545702019706368,0.005312646
45056,63,38.17,43.61,712,22,0.0501953125,0.30444979667663574,204.27777881622313,0.2,0.0003,99.1951675415039,-0.6228750519454479,210,-0.0067507703875890005,0.0067283213
47104,65,38.2,41.49,716,23,0.0294921875,0.15182405710220337,177.95060329437257,0.2,0.0003,82.3117904663086,-0.586345749348402,220,-0.005552201147656888,0.0037139119
49152,68,40.34,44.88,718,24,0.06884765625,0.34004485607147217,168.6359552383423,0.2,0.0003,73.82897186279297,-0.5783227972686291,230,-0.009799545735586435,0.0068837292
51200,71,44.7,49.15,713,25,0.03125,0.28367525339126587,191.6682357788086,0.2,0.0003,86.70194244384766,-0.5190205227583646,240,-0.005820483400020749,0.0032027047
53248,75,42.67,45.85,709,26,0.04052734375,0.4104157090187073,169.16806468963622,0.2,0.0003,86.25094604492188,-0.5393389329314232,250,-0.0055923375068232415,0.004839642
55296,77,39.41,46.08,711,27,0.0486328125,0.22973871231079102,157.25672960281372,0.2,0.0003,78.45357513427734,-0.4946395020931959,260,-0.007825844865874388,0.0072660027
57344,80,38.92,48.77,713,28,0.02529296875,0.2144606113433838,169.08502540588378,0.2,0.0003,82.63524627685547,-0.47262097261846064,270,-0.004415628523565829,0.003875603
59392,83,39.55,47.85,715,29,0.040478515625,0.30532586574554443,151.8468687057495,0.2,0.0003,65.08978271484375,-0.43323032185435295,280,-0.0053055549273267385,0.003971857
61440,85,39.55,47.38,717,30,0.0294921875,0.3595719337463379,167.02047786712646,0.2,0.0003,74.26101684570312,-0.4256883017718792,290,-0.004343138981494121,0.0039924234
63488,89,39.9,47.5,710,31,0.03388671875,0.3494754433631897,188.9111162185669,0.2,0.0003,89.91698455810547,-0.4043134443461895,300,-0.0047668123064795506,0.00319267
65536,92,40.58,51.27,711,32,0.034619140625,0.4185713529586792,146.15261249542237,0.2,0.0003,67.04967498779297,-0.41379854567348956,310,-0.005081581504782662,0.0036026728
67584,94,40.49,52.23,711,33,0.038623046875,0.32655173540115356,180.16199245452881,0.2,0.0003,98.12484741210938,-0.41387918703258036,320,-0.006117846749839373,0.0045010215
69632,97,37.26,46.5,712,34,0.026318359375,0.31729692220687866,154.77279624938964,0.2,0.0003,81.37238311767578,-0.39622975438833236,330,-0.0044970202987315135,0.0031987214
71680,100,37.1,47.17,715,35,0.029345703125,0.2561219334602356,188.44072818756104,0.2,0.0003,86.13064575195312,-0.3692147247493267,340,-0.004757124753086828,0.0036445758
73728,103,39.2,48.69,714,36,0.023193359375,0.36455678939819336,165.78895816802978,0.2,0.0003,80.58809661865234,-0.3984624583274126,350,-0.003150585648836568,0.0025282742
75776,106,37.63,45.65,712,37,0.026904296875,0.3185247778892517,153.59359121322632,0.2,0.0003,74.97793579101562,-0.38177808225154874,360,-0.004584324263851159,0.0031790556
77824,109,41.08,47.85,713,38,0.029248046875,0.32842040061950684,182.23146419525148,0.2,0.0003,92.42109680175781,-0.3746255960315466,370,-0.004472816799534485,0.0036145544
79872,112,41.68,49.81,708,39,0.0212890625,0.3054686188697815,160.5015998840332,0.2,0.0003,80.74250030517578,-0.3916170924901962,380,-0.00408104004454799,0.0023328606
81920,115,40.5,52.26,710,40,0.034033203125,0.34783852100372314,162.60582523345948,0.2,0.0003,87.63618469238281,-0.37464586794376376,390,-0.005390799485030584,0.0034912424
