time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl
2048,2,38.58490566037736,-80.11320754716981,986,1,,,,,,,,,,
4096,5,41.63265306122449,-77.43877551020408,717,2,0.052685546875,0.007535338401794434,762.5560424804687,0.2,0.0003,333.0923767089844,-1.6044227629899979,10,-0.012514624983305111,0.00875736
6144,8,43.42,-73.38,699,3,0.09033203125,-0.1811906099319458,532.9691833496094,0.2,0.0003,233.09083557128906,-1.5864216044545174,20,-0.013828532322077081,0.011388457
8192,11,39.93,-56.42,723,4,0.053369140625,-0.20441722869873047,552.4733707427979,0.2,0.0003,225.5658721923828,-1.5556867480278016,30,-0.012655950197950006,0.008530104
10240,13,39.65,-43.36,733,5,0.060302734375,-0.32036149501800537,280.45642070770265,0.2,0.0003,104.37275695800781,-1.5192051142454148,40,-0.013433718675514683,0.009709293
12288,16,44.75,-43.96,740,6,0.15,0.11259043216705322,183.3111044883728,0.2,0.0003,76.39976501464844,-1.4500415727496148,50,-0.019845954014454038,0.017875845
14336,19,41.64,-33.4,733,7,0.135107421875,0.31582415103912354,193.70949440002443,0.2,0.0003,92.26277923583984,-1.3966062232851981,60,-0.01786721121170558,0.016498577
16384,23,38.15,-19.44,701,8,0.108837890625,0.3914400339126587,193.00826930999756,0.2,0.0003,89.24612426757812,-1.2707622632384301,70,-0.01999635394604411,0.012434527
18432,26,38.73,-12.71,703,9,0.095361328125,0.4454449415206909,170.67071342468262,0.2,0.0003,91.26461791992188,-1.20880778580904,80,-0.014906142553081736,0.010101979
20480,29,40.73,-7.69,695,10,0.128369140625,0.5669866800308228,143.6268660545349,0.2,0.0003,68.327392578125,-1.2018737956881522,90,-0.019898096992983484,0.014516393
22528,32,41.07,4.98,700,11,0.082470703125,0.37560927867889404,170.1026445388794,0.2,0.0003,76.62039184570312,-1.0751064151525498,100,-0.013651440350804478,0.008272256
24576,35,40.99,9.68,683,12,0.0796875,0.46258556842803955,185.87845935821534,0.2,0.0003,83.00505828857422,-1.0843935385346413,110,-0.014646997640375048,0.009453854
26624,40,36.79,14.28,652,13,0.082421875,0.38994264602661133,181.430161857605,0.2,0.0003,90.25196075439453,-1.0076515153050423,120,-0.01398692858638242,0.009829152
28672,44,38.44,18.51,639,14,0.059375,0.295370876789093,172.52212772369384,0.2,0.0003,71.8531494140625,-0.9750152379274368,130,-0.012005859991768375,0.007408065
30720,50,43.01,22.28,607,15,0.067724609375,0.1051783561706543,140.73310508728028,0.2,0.0003,63.45568084716797,-0.9017647981643677,140,-0.010767259530257433,0.008935319
