PID,abs_velocity_mm_yr,stability_level,agent_predicted_level,recommended_action
3,61.64506875000001,4,4,FIELD INSPECTION
3,11.817866666666669,3,3,ENHANCED MONITORING
3,24.176506250000006,3,3,ENHANCED MONITORING
3,12.16079583333333,3,3,ENHANCED MONITORING
3,36.5432625,4,4,FIELD INSPECTION
3,27.322729166666665,3,3,ENHANCED MONITORING
3,21.85615416666667,3,3,ENHANCED MONITORING
3,10.728204166666664,3,3,ENHANCED MONITORING
3,47.22986875,4,4,FIELD INSPECTION
3,21.812527083333325,3,3,ENHANCED MONITORING
3,2.299045833333333,2,3,ENHANCED MONITORING
3,19.829016666666657,3,3,ENHANCED MONITORING
3,3.3501541666666603,2,3,ENHANCED MONITORING
3,15.433841666666666,3,3,ENHANCED MONITORING
3,74.85392916666667,4,4,FIELD INSPECTION
3,77.87738750000001,4,4,FIELD INSPECTION
3,51.171525,4,4,FIELD INSPECTION
3,5.581222916666673,2,3,ENHANCED MONITORING
3,7.332393750000004,2,3,ENHANCED MONITORING
3,37.69481458333332,4,4,FIELD INSPECTION
3,15.27658125,3,3,ENHANCED MONITORING
3,10.390347916666663,3,3,ENHANCED MONITORING
3,11.838158333333338,3,3,ENHANCED MONITORING
3,4.472283333333336,2,3,ENHANCED MONITORING
3,28.168891666666664,3,3,ENHANCED MONITORING
3,41.994618749999994,4,4,FIELD INSPECTION
3,17.82318541666666,4,3,ENHANCED MONITORING
3,8.399735416666672,2,3,ENHANCED MONITORING
3,48.50317083333332,4,4,FIELD INSPECTION
3,32.46768124999999,4,4,FIELD INSPECTION
3,34.248275,4,4,FIELD INSPECTION
3,67.1999125,4,4,FIELD INSPECTION
3,57.70442708333332,4,4,FIELD INSPECTION
3,22.424320833333336,3,3,ENHANCED MONITORING
3,14.738852083333335,3,3,ENHANCED MONITORING
3,7.90969166666667,2,3,ENHANCED MONITORING
3,15.565737500000003,3,3,ENHANCED MONITORING
3,21.705488541666668,3,3,ENHANCED MONITORING
3,55.860421874999986,4,4,FIELD INSPECTION
3,28.223171874999995,3,3,ENHANCED MONITORING
3,52.11204374999999,4,4,FIELD INSPECTION
3,34.165079166666665,4,4,FIELD INSPECTION
3,47.50380625,4,4,FIELD INSPECTION
3,5.247425000000007,2,3,ENHANCED MONITORING
3,20.437766666666658,3,3,ENHANCED MONITORING
3,42.04534791666666,4,4,FIELD INSPECTION
3,15.958381250000004,3,3,ENHANCED MONITORING
3,10.413683333333324,3,3,ENHANCED MONITORING
3,39.04522499999999,4,4,FIELD INSPECTION
3,43.267920833333335,4,4,FIELD INSPECTION
3,22.369533333333347,3,3,ENHANCED MONITORING
3,80.7141625,4,4,FIELD INSPECTION
3,6.408108333333321,2,3,ENHANCED MONITORING
3,21.79730833333332,3,3,ENHANCED MONITORING
3,19.490145833333344,3,3,ENHANCED MONITORING
3,53.83176249999999,4,4,FIELD INSPECTION
3,43.29024166666667,5,5,REINFORCE / ALARM
3,162.70467083333332,5,5,REINFORCE / ALARM
3,254.9120333333333,5,5,REINFORCE / ALARM
3,313.13288333333327,5,5,REINFORCE / ALARM
3,265.4332625,5,5,REINFORCE / ALARM
3,157.51609166666665,5,5,REINFORCE / ALARM
3,60.31900833333336,4,4,FIELD INSPECTION
3,36.82125833333334,4,4,FIELD INSPECTION
3,69.8418875,4,4,FIELD INSPECTION
3,43.722454166666665,5,5,REINFORCE / ALARM
3,96.38541666666667,4,4,FIELD INSPECTION
3,6.061120833333329,3,5,REINFORCE / ALARM
3,69.94131666666665,4,4,FIELD INSPECTION
3,138.85181666666668,5,5,REINFORCE / ALARM
3,74.94219791666667,4,4,FIELD INSPECTION
3,50.89860208333332,4,4,FIELD INSPECTION
3,9.051097916666654,2,3,ENHANCED MONITORING
3,40.258666666666706,4,4,FIELD INSPECTION
3,35.91219166666671,4,4,FIELD INSPECTION
3,34.58511666666669,4,4,FIELD INSPECTION
3,75.22120833333338,4,4,FIELD INSPECTION
3,111.32414166666668,5,5,REINFORCE / ALARM
3,14.66072916666666,4,3,ENHANCED MONITORING
3,39.69049999999999,4,4,FIELD INSPECTION
7,25.665914583333333,3,3,ENHANCED MONITORING
7,20.504729166666667,3,3,ENHANCED MONITORING
7,14.09154791666667,3,3,ENHANCED MONITORING
7,8.793393749999993,2,3,ENHANCED MONITORING
7,68.8131,4,4,FIELD INSPECTION
7,29.794254166666658,3,3,ENHANCED MONITORING
7,20.08469166666667,3,3,ENHANCED MONITORING
7,4.6508499999999975,2,3,ENHANCED MONITORING
7,16.648297916666664,3,3,ENHANCED MONITORING
7,27.115754166666672,3,3,ENHANCED MONITORING
7,90.6307,4,5,REINFORCE / ALARM
7,49.74603541666668,4,4,FIELD INSPECTION
7,62.38267083333334,4,4,FIELD INSPECTION
7,4.015720833333334,2,3,ENHANCED MONITORING
7,0.5042479166666668,1,3,ENHANCED MONITORING
7,19.128954166666666,3,3,ENHANCED MONITORING
7,2.897650000000001,2,3,ENHANCED MONITORING
7,34.49684791666667,4,4,FIELD INSPECTION
7,45.351875,4,4,FIELD INSPECTION
7,30.32082291666667,4,4,FIELD INSPECTION
7,4.726436458333332,2,3,ENHANCED MONITORING
7,10.467963541666668,3,3,ENHANCED MONITORING
7,27.756463541666673,3,3,ENHANCED MONITORING
7,25.20833750000001,3,3,ENHANCED MONITORING
7,21.137829166666666,3,3,ENHANCED MONITORING
7,35.93349791666666,4,4,FIELD INSPECTION
7,36.168881250000005,5,5,REINFORCE / ALARM
7,58.06156041666667,4,4,FIELD INSPECTION
7,87.96031666666666,4,4,FIELD INSPECTION
7,21.36306666666667,3,3,ENHANCED MONITORING
7,86.2537875,4,4,FIELD INSPECTION
7,39.02493333333334,4,4,FIELD INSPECTION
7,25.337189583333338,4,3,ENHANCED MONITORING
7,70.68500625,4,4,FIELD INSPECTION
7,38.27617083333334,4,4,FIELD INSPECTION
7,15.627627083333337,3,3,ENHANCED MONITORING
7,48.64724166666667,4,4,FIELD INSPECTION
7,84.72176666666667,4,4,FIELD INSPECTION
7,11.95179166666667,3,3,ENHANCED MONITORING
7,5.012041666666664,2,3,ENHANCED MONITORING
7,38.277185416666676,4,4,FIELD INSPECTION
7,34.42887083333334,5,5,REINFORCE / ALARM
7,7.342539583333344,2,3,ENHANCED MONITORING
7,70.70732708333333,4,4,FIELD INSPECTION
7,3.602785416666663,2,3,ENHANCED MONITORING
7,13.643102083333327,3,3,ENHANCED MONITORING
7,9.24183958333333,2,3,ENHANCED MONITORING
7,22.40301458333333,3,3,ENHANCED MONITORING
7,30.59577499999999,4,4,FIELD INSPECTION
7,18.289893749999997,3,3,ENHANCED MONITORING
7,7.846787499999995,2,3,ENHANCED MONITORING
7,16.792368749999994,3,3,ENHANCED MONITORING
7,49.07843958333333,4,4,FIELD INSPECTION
7,12.650839583333337,3,3,ENHANCED MONITORING
7,39.94617500000001,4,4,FIELD INSPECTION
7,24.44334166666667,3,3,ENHANCED MONITORING
7,108.85261666666663,5,5,REINFORCE / ALARM
7,24.65843333333332,3,3,ENHANCED MONITORING
7,2.5668958333333323,2,3,ENHANCED MONITORING
7,82.72506666666665,4,4,FIELD INSPECTION
7,23.992866666666657,3,3,ENHANCED MONITORING
7,76.56248749999999,4,4,FIELD INSPECTION
7,14.551154166666672,3,3,ENHANCED MONITORING
7,56.38648333333334,4,4,FIELD INSPECTION
7,9.046025000000002,2,3,ENHANCED MONITORING
7,97.83424166666667,4,5,REINFORCE / ALARM
7,14.123,4,3,ENHANCED MONITORING
7,24.636112500000014,3,3,ENHANCED MONITORING
7,95.39721249999998,5,5,REINFORCE / ALARM
7,64.67157083333333,5,5,REINFORCE / ALARM
7,98.48661874999998,5,5,REINFORCE / ALARM
7,152.4167958333333,5,5,REINFORCE / ALARM
7,36.096845833333326,4,4,FIELD INSPECTION
7,10.510068749999997,3,3,ENHANCED MONITORING
