time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl
2048,2,20.17,-59.55,702,1,,,,,,,,,,
4096,5,20.98,-48.7,682,2,0.257421875,0.007737457752227783,68.08769564628601,0.2,0.0003,32.024566650390625,-1.5957142576575278,10,-0.04503685006638989,0.0179532
6144,8,20.98,-44.2,706,3,0.26181640625,-0.012064933776855469,52.88195095062256,0.2,0.0003,25.27557373046875,-1.5536531314253808,20,-0.052708031464135274,0.018447874
8192,11,20.9,-20.03,718,4,0.35048828125,-0.027916669845581055,54.842313575744626,0.2,0.0003,23.168861389160156,-1.4719060704112052,30,-0.06501919575966894,0.028150702
10240,14,20.99,-7.22,728,5,0.33662109375,-0.0336604118347168,42.83781180381775,0.2,0.0003,19.390785217285156,-1.3618229001760482,40,-0.059261077712289986,0.026809607
12288,16,20.14,6.89,724,6,0.39443359375,-0.003233671188354492,32.19111692905426,0.2,0.0003,16.84931755065918,-1.229963806271553,50,-0.057571849325904624,0.031725504
14336,20,20.17,17.67,690,7,0.32861328125,0.04819411039352417,29.029289293289185,0.2,0.0003,12.835515975952148,-1.082036904990673,60,-0.04810205071698874,0.030602606
16384,23,20.21,25.97,684,8,0.24482421875,0.07404720783233643,30.88120832443237,0.2,0.0003,13.904763221740723,-0.905986163020134,70,-0.04150079747196287,0.03103559
18432,27,20.92,28.12,681,9,0.17021484375,0.17523318529129028,27.293260622024537,0.2,0.0003,11.665140151977539,-0.7491375930607319,80,-0.02885369163705036,0.023224685
20480,30,19.81,33.66,678,10,0.166943359375,0.09815418720245361,24.22918243408203,0.2,0.0003,11.034728050231934,-0.6673404410481453,90,-0.02583059485477861,0.019685134
22528,33,21.07,32.1,667,11,0.084423828125,0.09550881385803223,24.80952968597412,0.2,0.0003,12.691023826599121,-0.5497335404157638,100,-0.016698495522723532,0.009575291
24576,37,20.26,37.86,653,12,0.08076171875,0.12964218854904175,23.531584048271178,0.2,0.0003,11.112980842590332,-0.4902882855385542,110,-0.015453429415356369,0.008450672
26624,41,20.44,39.0,643,13,0.060205078125,0.15561646223068237,21.51233615875244,0.2,0.0003,9.93013858795166,-0.4401486873626709,120,-0.01178029520669952,0.005145372
28672,44,19.8,37.9,641,14,0.05595703125,0.1514747142791748,24.667910289764404,0.2,0.0003,12.252652168273926,-0.42556693144142627,130,-0.011469550678157248,0.0068305964
30720,47,20.89,42.22,642,15,0.062451171875,0.19092822074890137,24.904588913917543,0.2,0.0003,11.902783393859863,-0.3747222635895014,140,-0.011503008648287506,0.0060183518
