Metric,Approach,n,Mean,SD,Min,Q1,Median,Q3,Max,First,Final,CV_pct
Total loss,A1,48,97.00105277697246,57.41661881923244,60.763179779052734,78.09442329406738,85.25200653076172,89.3536434173584,348.1518859863281,333.4607238769531,97.672607421875,59.19174810529773
Total loss,A2,48,77.05865367253621,52.4521149626094,39.610626220703125,52.92107105255128,68.66589736938477,74.6530590057373,333.0923767089844,333.0923767089844,61.97499847412109,68.067780142522
Value loss,A1,48,206.4971124311288,121.71224613028726,139.95338516235353,160.12035570144653,176.61597681045532,189.6003961086273,701.6455223083497,678.6943923950196,215.3633123397827,58.94137922673417
Value loss,A2,48,168.35019026796024,125.23008478288287,82.18872938156127,105.89287376403809,139.98518939018248,165.78234546184538,762.5560424804687,762.5560424804687,139.23727369308472,74.38666067650782
Entropy loss,A1,48,-0.7104403541656211,0.40949372658989586,-1.6045258030295373,-0.931381525658071,-0.529179727844894,-0.38696007514372466,-0.3072437826544046,-1.6045258030295373,-0.3095437724143267,57.63942380086602
Entropy loss,A2,48,-0.709179341676645,0.4104713812247221,-1.604422762989998,-0.9831743072718382,-0.5520040772855281,-0.3752060299739241,-0.2921359285712242,-1.604422762989998,-0.2921359285712242,57.8797713219175
Explained variance,A1,48,0.24593324090043703,0.1644977770567979,-0.2340970039367675,0.2025423645973205,0.30539724230766296,0.34199327230453486,0.5243523120880127,0.0106913447380065,0.3239096403121948,66.88716679962461
Explained variance,A2,48,0.46096095194419223,0.27079522828472846,-0.3203614950180053,0.3257897645235061,0.5563308000564575,0.673573911190033,0.7541925311088562,0.0075353384017944,0.6726641654968262,58.745806373098866
Policy-gradient loss,A1,48,-0.00813665998648498,0.004415167792676182,-0.0178333920892328,-0.01061003501308725,-0.006013638350123,-0.0046511536056641,-0.0031505856488365,-0.0128589136293157,-0.0038488724356284,54.26265568439373
Policy-gradient loss,A2,48,-0.009425040068375237,0.004589779227414144,-0.0199963539460441,-0.0126712706609396,-0.007613300410594001,-0.005990909534011675,-0.0029948317125672,-0.0125146249833051,-0.0029948317125672,48.69771580934368
Approx. KL,A1,48,0.006238396477083334,0.0036845074605920073,0.0023328606,0.003330317025,0.004670331749999999,0.0083199735,0.01493551,0.007987484,0.0026971134,59.06177130817184
Approx. KL,A2,48,0.006218987039583333,0.003812113542427936,0.0016867532,0.00338069975,0.0046649002,0.008586918,0.017875845,0.00875736,0.0018291501,61.297981780057626
Clip fraction,A1,48,0.05099589029947917,0.02895971904336181,0.01875,0.0293212890625,0.039941406250000006,0.066796875,0.1361328125,0.06611328125,0.01875,56.78833896867485
Clip fraction,A2,48,0.05288492838541666,0.03129345868304354,0.0119140625,0.0327392578125,0.040185546875,0.0644287109375,0.15,0.052685546875,0.0119140625,59.17273529233501
Episode reward,A1,48,26.706190476190475,37.749547761173346,-80.64285714285714,16.705,45.75,49.155,59.17,-80.64285714285714,55.11,141.35130128285581
Episode reward,A2,48,25.99210884353742,36.13209691463221,-77.43877551020408,17.4525,42.97,48.057500000000005,59.7,-77.43877551020408,53.5,139.0117944339709
